tempo_s,T_processo_C,T_medida_C,u,T_filtrada_C
290.0,175.99186357601678,180.8001822297976,0.0,180.08146163594694
291.0,176.74786924863474,180.23045792599274,0.7000403961460826,180.1038110794538
292.0,178.8637254343469,179.90031624409343,0.9065379920189371,180.07328685414976
293.0,178.1023304556308,179.98071978385113,0.48200317130707615,180.05940179360496
294.0,177.50330773909837,180.00195274427884,0.5038210273722364,180.05078443620604
295.0,179.07882603386528,179.84985517207593,0.828005436678696,180.02064504658654
296.0,181.76596323311273,179.65258724646392,1.0,179.96543637656814
297.0,184.3933862723769,179.57552303662678,1.0,179.90694937557694
298.0,180.29575546632407,180.31614230021256,0.0,179.9683283142723
299.0,180.41594813496545,180.07923399689452,0.6190147518506199,179.98496416666563
300.0,176.40670484307734,180.31945649014622,0.0,180.03513801518773
301.0,179.15322251323119,179.5182448295088,1.0,179.9576040373359
302.0,179.5406819710986,179.74448932773223,0.6552963270575493,179.92563683089537
303.0,181.202870007955,179.74132348300427,0.8477971454321215,179.8979898287117
304.0,183.81007286813264,179.66971358412795,0.9950899957198305,179.86374839202415
305.0,179.72540458217412,180.36486990796828,0.0,179.93891661941575
306.0,180.10868354646271,180.08751375116984,0.6565765265838701,179.96120618917888
307.0,176.55471781156956,180.26854043823295,0.06726741825423402,180.007306326537
308.0,179.29199366181848,179.87626858455184,0.9991071035759029,179.98765066523922
309.0,181.97439380266695,179.47215626648375,1.0,179.9103265054259
310.0,178.2641844063368,180.03192427329415,0.0500499032260347,179.92856617060613
311.0,179.1946905512375,179.9148133591616,0.7337898697562297,179.92650324888945
312.0,181.87925298343222,179.58596234883123,1.0,179.87542211388072
313.0,182.0222050714735,179.79155448450072,0.6277069898176324,179.86284196947372
314.0,180.34761327890715,180.00977116468715,0.3555519146866226,179.88488134875573
315.0,176.33988853937586,180.54045221517072,0.0,179.98321697871796
316.0,179.08789101627863,179.93990312641787,1.0,179.97671990087295
317.0,181.77482677147245,179.6975256402622,1.0,179.93484076178135
318.0,179.29807010948852,180.03241018748983,0.2344025899406506,179.9494761756376
319.0,181.98033521816654,179.41736086925056,1.0,179.86965887967955
320.0,180.99191645322992,179.8102736858701,0.45833830265339487,179.86075110060813
321.0,177.65130499743398,180.14406002865405,0.10221466980804339,179.903247439815
322.0,173.70349821971323,180.4331601151055,0.0,179.98273434110857
323.0,176.51008714816405,179.48054870922235,1.0,179.90740649632562
324.0,179.2543074337604,179.1777052966887,1.0,179.79795131638008
325.0,180.76234145441316,179.53493096760425,0.8237194612104475,179.7584982640637
326.0,183.41206719987065,179.1855285372383,1.0,179.67255280503989
327.0,179.67045896472118,179.92559785485057,0.05013232206048024,179.71050956251148
328.0,182.34444876550515,179.58668149778632,1.0,179.6919353528027
329.0,184.95901657071616,179.59070062876148,1.0,179.67675014419652
330.0,181.62452361334167,180.05401465017357,0.11635611162954551,179.73333982009308
331.0,178.38248653072338,180.2356074815782,0.1191095163183945,179.80867996931585
332.0,176.401020531171,180.2169358198493,0.29738838850288746,179.86991834689587
333.0,178.04588989841008,179.94138063958513,0.8347338068564295,179.88063769079926
334.0,179.85721620826715,179.81775529488883,0.8651852461399261,179.87120533141268
335.0,182.52705584808342,179.41002218713206,1.0,179.8020278597706
336.0,180.46681300916669,179.88921880212823,0.29938709365609945,179.81510650112423
337.0,177.83091204576334,180.1262431143842,0.20617089885338544,179.86177699311324
338.0,180.5457806669686,179.60570052777626,1.0,179.8233655233127
339.0,179.03190313228396,179.9292598363629,0.3747376386871997,179.83924967027022
340.0,180.34608318093683,179.8505964062096,0.7939000177388755,179.84095168066114
341.0,180.54367530723994,179.90166814677568,0.630792429548589,179.85005915057832
342.0,183.1982603004124,179.68494536247104,1.0,179.82529208236224
343.0,180.588041649476,180.04083159310966,0.2191280700275826,179.85762300897437
344.0,181.1095985055441,179.95312206609702,0.6801936672418054,179.87194786754276
345.0,181.05757516349246,179.9605816918061,0.5958951603773976,179.88524294118224
346.0,177.03407349319264,180.38788837896413,0.0,179.9606397568495
347.0,178.20536471502118,180.0490417488606,0.7658072615849227,179.97390005565117
348.0,174.3569843820928,180.28517456573223,0.016760832444149998,180.02059123216333
349.0,177.14905139582407,179.66654773990217,1.0,179.96748470832415
350.0,179.87907247591687,179.3973715583935,1.0,179.88196773583456
351.0,182.5484264208965,179.38833694835702,1.0,179.80792311771293
352.0,185.15846138932102,179.44608067531288,1.0,179.75364675135293
353.0,185.57098142923502,179.71567734048793,0.6790728772848387,179.7479513397232
354.0,181.44718184191868,180.3883592440713,0.0,179.84401252537543
355.0,177.4150222454316,180.81334878525567,0.0,179.98941296435746
356.0,173.47246619553312,180.68646515497983,0.0,180.0939707929508
357.0,176.28418916896572,179.4751862982108,1.0,180.0011531187398
358.0,179.03342940965538,179.47936362582087,1.0,179.92288469480195
359.0,180.79780118304686,179.64139606664662,0.8614338640409074,179.88066140057867
360.0,183.4467389345347,179.4752029320706,1.0,179.81984263030247
361.0,180.48639377617607,179.98686142886433,0.16743735602799065,179.84489545008674
362.0,178.28850834199542,180.13789530382746,0.27193849746015814,179.88884542814785
363.0,180.99320815661775,179.7989052737083,1.0,179.87535440498192
364.0,177.85731660326385,180.13090951491978,0.13292696085230715,179.9136876714726
365.0,180.57159845652467,179.60992896522558,1.0,179.86812386553552
366.0,179.20189521617294,179.92431440681685,0.39644984213565465,179.87655244672771
367.0,181.11273666001148,179.80822828799307,0.8839658672963554,179.86630382291753
368.0,180.12657538027838,179.9761230782096,0.4557849302400724,179.88277671121133
369.0,182.79042926071665,179.69904392136104,1.0,179.85521679273378
370.0,178.7284197215896,180.42775333357957,0.0,179.94109727386063
371.0,181.4233437277765,179.91145948316162,1.0,179.93665160525578
372.0,177.88129814821627,180.20652396071068,0.07343764215855114,179.97713245857403
373.0,175.1090744349712,180.27001635748113,0.17710410350729322,180.0210650434101
374.0,177.88442833641628,179.382109629042,1.0,179.92522173125488
375.0,180.59810770671814,179.2327622475607,1.0,179.82135280870074
376.0,179.42894555559857,179.75817231597117,0.42661936968779174,179.81187573479133
377.0,181.7674956525589,179.71010547357878,0.9488789997293747,179.79661019560945
378.0,183.27101165667875,179.7520878317722,0.831419052793176,179.78993184103388
379.0,179.6895316422919,180.1462867489413,0.07368137003090391,179.84338507721998
380.0,179.3298997890417,180.06762063077326,0.5450203274867726,179.87702041025295
381.0,179.2924590080944,180.01246459356972,0.5921502154880448,179.89733703775048
382.0,181.08433646530497,179.85471852685944,0.866423148608568,179.89094426111683
383.0,183.72690676607598,179.5744876672262,1.0,179.84347577203323
384.0,182.36485080021097,179.90958615523704,0.40811462767383316,179.8533923295138
385.0,178.31229856020627,180.35136210711167,0.0,179.92808779615348
386.0,175.90376453797765,180.30479815091908,0.2330942251997266,179.9845943493683
387.0,177.23380709103174,180.00969658283785,0.7858522647513735,179.98835968438874
388.0,179.96194471123104,179.37052147829283,1.0,179.89568395347436
389.0,178.65745074017582,179.82852724700342,0.4041990533791533,179.88561044750372
390.0,181.35395183483857,179.70931974854483,1.0,179.85916684265987
391.0,178.36324372814843,180.08731940931105,0.15590695677927496,179.89338972765756
